link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,obs_count,dev,notes
62,20,21,0700_0800,6488.860,8.434,42.684,1.282,0,0,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",6445.9,42.9,period-based
63,20,22,0700_0800,7019.327,7.743,38.744,1.383,0,0,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",7000.0,19.3,period-based
64,21,20,0700_0800,6426.944,8.343,43.152,1.270,0,0,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",6379.1,47.9,period-based
65,21,22,0700_0800,8353.646,3.953,30.359,1.597,0,0,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",8315.6,38.0,period-based
66,21,24,0700_0800,10351.441,12.070,14.912,2.119,0,0,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",10299.1,52.3,period-based
67,22,15,0700_0800,18102.448,8.691,20.710,1.886,0,0,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",18056.9,45.5,period-based
68,22,20,0700_0800,7019.508,7.744,38.742,1.383,0,0,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)",7000.0,19.5,period-based
69,22,21,0700_0800,8337.753,3.938,30.473,1.594,0,0,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)",8299.5,38.3,period-based
70,22,23,0700_0800,9637.044,12.280,19.543,1.927,0,0,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)",9604.4,32.7,period-based
71,23,14,0700_0800,8248.396,8.721,27.518,1.675,0,0,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)",8223.8,24.6,period-based
72,23,22,0700_0800,9600.499,12.155,19.744,1.920,0,0,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)",9566.8,33.7,period-based
73,23,24,0700_0800,7791.368,3.662,32.769,1.534,0,0,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)",7742.7,48.7,period-based
74,24,13,0700_0800,11038.182,17.257,13.907,2.168,0,0,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)",10964.6,73.6,period-based
75,24,21,0700_0800,10306.489,11.914,15.108,2.110,0,0,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",10248.4,58.1,period-based
76,24,23,0700_0800,7748.508,3.626,33.097,1.526,0,0,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",7704.5,44.0,period-based
