link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
23,9,5,0700_0800,15636.308,9.483,31.635,1.564,0,0,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",period-based
24,9,8,0700_0800,7156.641,16.049,37.385,1.417,0,0,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",period-based
25,9,10,0700_0800,21936.918,5.779,31.147,1.576,0,0,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",period-based
26,10,9,0700_0800,21903.759,5.762,31.238,1.574,0,0,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",period-based
27,10,11,0700_0800,17616.918,12.224,24.542,1.762,0,0,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",period-based
28,10,15,0700_0800,22471.788,12.885,27.939,1.663,0,0,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",period-based
29,10,16,0700_0800,11370.814,22.055,10.882,2.342,0,0,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",period-based
30,10,17,0700_0800,8099.999,16.308,29.433,1.622,0,0,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",period-based
31,11,4,0700_0800,5449.169,7.367,48.869,1.110,0,0,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",period-based
32,11,10,0700_0800,17464.998,11.978,25.046,1.746,0,0,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",period-based
33,11,12,0700_0800,8377.523,13.635,26.403,1.707,0,0,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",period-based
34,11,14,0700_0800,9587.551,12.965,18.512,1.966,0,0,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",period-based
35,12,3,0700_0800,10279.790,4.022,59.667,0.439,0,0,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",period-based
36,12,11,0700_0800,8460.421,13.941,25.822,1.724,0,0,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",period-based
37,12,13,0700_0800,13227.404,3.031,59.394,0.511,0,0,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",period-based
38,13,12,0700_0800,13316.305,3.031,59.378,0.514,0,0,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",period-based
39,13,24,0700_0800,10975.703,16.959,14.152,2.156,0,0,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",period-based
40,14,11,0700_0800,9661.071,13.243,18.123,1.981,0,0,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",period-based
41,14,15,0700_0800,8967.316,12.016,24.967,1.749,0,0,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",period-based
42,14,23,0700_0800,8224.451,8.667,27.692,1.670,0,0,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",period-based
43,15,10,0700_0800,22484.833,12.901,27.904,1.664,0,0,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",period-based
44,15,14,0700_0800,9041.502,12.251,24.488,1.763,0,0,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",period-based
45,15,19,0700_0800,17955.973,4.040,44.560,1.233,0,0,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",period-based
46,15,22,0700_0800,18078.321,8.661,20.782,1.883,0,0,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",period-based
47,16,8,0700_0800,8596.646,11.319,26.504,1.704,0,0,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",period-based
48,16,10,0700_0800,11376.531,22.091,10.864,2.343,0,0,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",period-based
49,16,17,0700_0800,10895.548,7.651,15.684,2.083,0,0,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",period-based
50,16,18,0700_0800,16700.589,3.233,55.669,0.849,0,0,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",period-based
51,17,10,0700_0800,8100.000,16.308,29.433,1.622,0,0,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",period-based
52,17,16,0700_0800,10905.319,7.671,15.642,2.085,0,0,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",period-based
53,17,19,0700_0800,9948.754,7.427,16.157,2.062,0,0,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",period-based
54,18,7,0700_0800,15708.295,2.061,58.227,0.671,0,0,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",period-based
55,18,16,0700_0800,16727.612,3.235,55.643,0.850,0,0,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",period-based
56,18,20,0700_0800,20692.294,4.367,54.962,0.884,0,0,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",period-based
57,19,15,0700_0800,17964.595,4.042,44.538,1.233,0,0,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",period-based
58,19,17,0700_0800,9958.525,7.449,16.110,2.064,0,0,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",period-based
59,19,20,0700_0800,7899.545,7.731,31.046,1.579,0,0,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",period-based
60,20,18,0700_0800,20707.056,4.368,54.949,0.885,0,0,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",period-based
61,20,19,0700_0800,7917.937,7.765,30.906,1.583,0,0,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",period-based
62,20,21,0700_0800,6445.915,8.370,43.009,1.274,0,0,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",period-based
63,20,22,0700_0800,7000.000,7.713,38.895,1.379,0,0,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",period-based
64,21,20,0700_0800,6379.069,8.274,43.512,1.261,0,0,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",period-based
65,21,22,0700_0800,8315.617,3.917,30.632,1.590,0,0,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",period-based
66,21,24,0700_0800,10299.106,11.888,15.141,2.108,0,0,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",period-based
67,22,15,0700_0800,18056.932,8.634,20.847,1.881,0,0,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",period-based
68,22,20,0700_0800,7000.000,7.713,38.895,1.379,0,0,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)",period-based
69,22,21,0700_0800,8299.461,3.903,30.749,1.587,0,0,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)",period-based
70,22,23,0700_0800,9604.387,12.169,19.723,1.921,0,0,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)",period-based
71,23,14,0700_0800,8223.785,8.665,27.696,1.670,0,0,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)",period-based
72,23,22,0700_0800,9566.842,12.042,19.931,1.913,0,0,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)",period-based
73,23,24,0700_0800,7742.694,3.621,33.141,1.525,0,0,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)",period-based
74,24,13,0700_0800,10964.604,16.907,14.195,2.154,0,0,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)",period-based
75,24,21,0700_0800,10248.417,11.715,15.365,2.098,0,0,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",period-based
76,24,23,0700_0800,7704.482,3.589,33.435,1.517,0,0,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",period-based
