agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
24,1,10,2,p,AM,0,0,106158.32434641018,35.0,1;3;12;13;24;21;20;18;16;10,2;7;37;39;75;64;60;55;48,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
25,1,10,3,p,AM,0,0,146227.43344146767,19.0,1;3;4;11;10,2;6;10;32,"LINESTRING ( ,  ,  ,  ,  )"
26,1,11,0,p,AM,0,0,76.88991829523637,14.0,1;3;4;11,2;6;10,"LINESTRING ( ,  ,  ,  )"
27,1,11,1,p,AM,3.499999999999999,0,363172.74047089403,14.0,1;3;12;11,2;7;36,"LINESTRING ( ,  ,  ,  )"
28,1,11,2,p,AM,0,0,106163.32542100284,40.0,1;3;12;13;24;21;20;18;16;10;11,2;7;37;39;75;64;60;55;48;27,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
29,1,12,0,p,AM,2.0,0,15077.312973964084,8.0,1;3;12,2;7,"LINESTRING ( ,  ,  )"
30,1,13,0,p,AM,4.75,0,15551.472425030766,11.0,1;3;12;13,2;7;37,"LINESTRING ( ,  ,  ,  )"
31,1,14,0,p,AM,0,0,81.43795552041772,18.0,1;3;4;11;14,2;6;10;34,"LINESTRING ( ,  ,  ,  ,  )"
32,1,14,1,p,AM,1.35,0,154044668.48699158,48.0,1;3;12;11;10;17;16;18;20;19;15;14,2;7;36;32;30;52;50;56;61;57;44,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
33,1,14,2,p,AM,0,0,66707.16984054974,21.0,1;3;12;13;24;23;14,2;7;37;39;76;71,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
34,1,14,3,p,AM,0,0,363177.28850811924,18.0,1;3;12;11;14,2;7;36;34,"LINESTRING ( ,  ,  ,  ,  )"
35,1,15,0,p,AM,0,0,86.43795552041772,23.0,1;3;4;11;14;15,2;6;10;34;41,"LINESTRING ( ,  ,  ,  ,  ,  )"
36,1,15,1,p,AM,2.25,0,153950959.80931196,43.0,1;3;12;11;10;17;16;18;20;19;15,2;7;36;32;30;52;50;56;61;57,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
37,1,15,2,p,AM,0,0,86.47544325211892,24.0,1;3;4;5;9;10;15,2;6;9;13;25;28,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
38,1,15,3,p,AM,0,0,66737.62086176623,24.0,1;3;12;13;24;23;22;15,2;7;37;39;76;72;67,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
39,1,16,0,p,AM,0,0,97159.83731639996,18.0,1;2;6;8;16,1;4;16;22,"LINESTRING ( ,  ,  ,  ,  )"
40,1,16,1,p,AM,3.25,0,149717456.37330928,29.0,1;3;12;11;10;17;16,2;7;36;32;30;52,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
41,1,16,2,p,AM,0,0,207.5466560874184,38.0,1;3;4;5;9;10;15;19;20;18;16,2;6;9;13;25;28;45;59;60;55,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
42,1,16,3,p,AM,0,0,71476.45106217335,31.0,1;3;12;13;24;21;20;18;16,2;7;37;39;75;64;60;55,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
43,1,16,4,p,AM,0,0,11516.19167728552,21.0,1;2;6;8;7;18;16,1;4;16;20;18;55,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
44,1,16,5,p,AM,0,0,95267.92137460898,21.0,1;3;4;5;6;8;16,2;6;9;12;16;22,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
45,1,17,0,p,AM,0,0,97169.66707282195,20.0,1;2;6;8;16;17,1;4;16;22;49,"LINESTRING ( ,  ,  ,  ,  ,  )"
46,1,17,1,p,AM,1.2000000000000004,0,128438979.35629919,27.0,1;3;12;11;10;17,2;7;36;32;30,"LINESTRING ( ,  ,  ,  ,  ,  )"
47,1,17,2,p,AM,0,0,91.49559888005211,29.0,1;3;4;5;9;10;15;19;17,2;6;9;13;25;28;45;58,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
48,1,18,0,p,AM,0,0,11418.491237142525,18.0,1;2;6;8;7;18,1;4;16;20;18,"LINESTRING ( ,  ,  ,  ,  ,  )"
49,1,18,1,p,AM,0.6000000000000001,0,149872292.30163312,32.0,1;3;12;11;10;17;16;18,2;7;36;32;30;52;50,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
50,1,18,2,p,AM,0,0,109.84621594442052,35.0,1;3;4;5;9;10;15;19;20;18,2;6;9;13;25;28;45;59;60,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
51,1,18,3,p,AM,0,0,71378.75062203036,28.0,1;3;12;13;24;21;20;18,2;7;37;39;75;64;60,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
52,1,18,4,p,AM,0,0,251995.76564021982,21.0,1;2;6;8;16;18,1;4;16;22;50,"LINESTRING ( ,  ,  ,  ,  ,  )"
53,1,19,0,p,AM,0,0,97171.67461507344,22.0,1;2;6;8;16;17;19,1;4;16;22;49;53,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
54,1,19,1,p,AM,0.8999999999999999,0,153927274.16364634,40.0,1;3;12;11;10;17;16;18;20;19,2;7;36;32;30;52;50;56;61,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
55,1,19,2,p,AM,0,0,89.49559888005211,27.0,1;3;4;5;9;10;15;19,2;6;9;13;25;28;45,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
56,1,20,0,p,AM,0,0,164151.22043871816,22.0,1;2;6;8;7;18;20,1;4;16;20;18;56,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
57,1,20,1,p,AM,1.2,0,150025025.0308347,36.0,1;3;12;11;10;17;16;18;20,2;7;36;32;30;52;50;56,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
58,1,20,2,p,AM,0,0,93.49559888005211,31.0,1;3;4;5;9;10;15;19;20,2;6;9;13;25;28;45;59,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
59,1,20,3,p,AM,0,0,71362.40000496598,24.0,1;3;12;13;24;21;20,2;7;37;39;75;64,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
60,1,21,0,p,AM,0,0,61990.89766932501,18.0,1;3;12;13;24;21,2;7;37;39;75,"LINESTRING ( ,  ,  ,  ,  ,  )"
61,1,21,1,p,AM,0,0,150293911.48043996,42.0,1;3;12;11;10;17;16;18;20;21,2;7;36;32;30;52;50;56;62,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
62,1,22,0,p,AM,0,0,62121.56122330557,20.0,1;3;12;13;24;21;22,2;7;37;39;75;65,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
63,1,22,1,p,AM,0,0,150113039.58136413,41.0,1;3;12;11;10;17;16;18;20;22,2;7;36;32;30;52;50;56;63,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
64,1,22,2,p,AM,0,0,66733.48556606408,21.0,1;3;12;13;24;23;22,2;7;37;39;76;72,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
65,1,23,0,p,AM,0.6,0,66698.09159142865,17.0,1;3;12;13;24;23,2;7;37;39;76,"LINESTRING ( ,  ,  ,  ,  ,  )"
66,1,24,0,p,AM,0.25,0,52955.33719848549,15.0,1;3;12;13;24,2;7;37;39,"LINESTRING ( ,  ,  ,  ,  )"
67,2,3,0,p,AM,1.0,0,74.01157287650139,10.0,2;1;3,3;2,"LINESTRING ( ,  ,  )"
68,2,4,0,p,AM,0.6684029551496584,0,4238.1124897625305,11.0,2;6;5;4,4;15;11,"LINESTRING ( ,  ,  ,  )"
69,2,4,1,p,AM,1.3315970448503411,0,78.16220439878268,14.0,2;1;3;4,3;2;6,"LINESTRING ( ,  ,  ,  )"
70,2,5,0,p,AM,1.0,0,3032.2780523145652,9.0,2;6;5,4;15,"LINESTRING ( ,  ,  )"
71,2,6,0,p,AM,4.0,0,2312.7742464034427,5.0,2;6,4,"LINESTRING ( ,  )"
72,2,6,1,p,AM,0,0,270.81942815782776,33.0,2;1;3;4;5;9;8;6,3;2;6;9;13;24;19,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
73,2,6,2,p,AM,0,0,435.8747361143004,20.0,2;1;3;4;5;6,3;2;6;9;12,"LINESTRING ( ,  ,  ,  ,  ,  )"
74,2,7,0,p,AM,0,0,11284.657759233316,10.0,2;6;8;7,4;16;20,"LINESTRING ( ,  ,  ,  )"
75,2,7,1,p,AM,1.3000000000000003,0,149872302.01444152,40.0,2;1;3;12;11;10;17;16;18;7,3;2;7;36;32;30;52;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
76,2,7,2,p,AM,0,0,119.55902434241389,43.0,2;1;3;4;5;9;10;15;19;20;18;7,3;2;6;9;13;25;28;45;59;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
77,2,7,3,p,AM,0,0,71388.46343042835,36.0,2;1;3;12;13;24;21;20;18;7,3;2;7;37;39;75;64;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
78,2,7,4,p,AM,0,0,251990.46201711596,17.0,2;6;8;16;18;7,4;16;22;50;54,"LINESTRING ( ,  ,  ,  ,  ,  )"
79,2,8,0,p,AM,3.8,0,11248.395719980348,7.0,2;6;8,4;16,"LINESTRING ( ,  ,  )"
80,2,8,1,p,AM,0,0,180.27730194503715,31.0,2;1;3;4;5;9;8,3;2;6;9;13;24,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
81,2,8,2,p,AM,0,0,123.0561552876444,46.0,2;1;3;4;5;9;10;15;19;20;18;7;8,3;2;6;9;13;25;28;45;59;60;54;17,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
82,2,8,3,p,AM,0,0,71491.201959624,42.0,2;1;3;12;13;24;21;20;18;16;8,3;2;7;37;39;75;64;60;55;47,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
83,2,8,4,p,AM,0,0,9371.496209691204,22.0,2;1;3;4;5;6;8,3;2;6;9;12;16,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
84,2,9,0,p,AM,0,0,3037.2780523145652,14.0,2;6;5;9,4;15;13,"LINESTRING ( ,  ,  ,  )"
85,2,9,1,p,AM,1.7000000000000002,0,106495.11204906572,44.0,2;1;3;12;13;24;21;20;18;16;10;9,3;2;7;37;39;75;64;60;55;48;26,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
86,2,10,0,p,AM,0,0,131834.39854693756,16.0,2;6;8;16;10,4;16;22;48,"LINESTRING ( ,  ,  ,  ,  )"
87,2,10,1,p,AM,4.5,0,509330.9883718691,25.0,2;1;3;12;11;10,3;2;7;36;32,"LINESTRING ( ,  ,  ,  ,  ,  )"
88,2,10,2,p,AM,0,0,88.17982105473143,24.0,2;1;3;4;5;9;10,3;2;6;9;13;25,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
89,2,10,3,p,AM,0,0,106166.0287242128,41.0,2;1;3;12;13;24;21;20;18;16;10,3;2;7;37;39;75;64;60;55;48,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
90,2,10,4,p,AM,0,0,146235.13781927028,25.0,2;1;3;4;11;10,3;2;6;10;32,"LINESTRING ( ,  ,  ,  ,  ,  )"
91,2,11,0,p,AM,0,0,4244.544581461597,17.0,2;6;5;4;11,4;15;11;10,"LINESTRING ( ,  ,  ,  ,  )"
92,2,11,1,p,AM,1.4000000000000004,0,363180.44484869664,20.0,2;1;3;12;11,3;2;7;36,"LINESTRING ( ,  ,  ,  ,  )"
93,2,11,2,p,AM,0,0,84.59429609784888,20.0,2;1;3;4;11,3;2;6;10,"LINESTRING ( ,  ,  ,  ,  )"
94,2,11,3,p,AM,0,0,106171.02979880545,46.0,2;1;3;12;13;24;21;20;18;16;10;11,3;2;7;37;39;75;64;60;55;48;27,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
95,2,12,0,p,AM,1.0,0,15085.017351766697,14.0,2;1;3;12,3;2;7,"LINESTRING ( ,  ,  ,  )"
96,2,13,0,p,AM,2.85,0,15559.176802833379,17.0,2;1;3;12;13,3;2;7;37,"LINESTRING ( ,  ,  ,  ,  )"
97,2,14,0,p,AM,0,0,4249.092618686778,21.0,2;6;5;4;11;14,4;15;11;10;34,"LINESTRING ( ,  ,  ,  ,  ,  )"
98,2,14,1,p,AM,0.45000000000000007,0,154044676.19136938,54.0,2;1;3;12;11;10;17;16;18;20;19;15;14,3;2;7;36;32;30;52;50;56;61;57;44,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
99,2,14,2,p,AM,0,0,66714.87421835236,27.0,2;1;3;12;13;24;23;14,3;2;7;37;39;76;71,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
100,2,14,3,p,AM,0,0,89.14233332303021,24.0,2;1;3;4;11;14,3;2;6;10;34,"LINESTRING ( ,  ,  ,  ,  ,  )"
101,2,14,4,p,AM,0,0,363184.99288592185,24.0,2;1;3;12;11;14,3;2;7;36;34,"LINESTRING ( ,  ,  ,  ,  ,  )"
102,2,15,0,p,AM,0,0,120850.00822699326,19.0,2;6;8;16;17;19;15,4;16;22;49;53;57,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
103,2,15,1,p,AM,0.45000000000000007,0,153950967.51368976,49.0,2;1;3;12;11;10;17;16;18;20;19;15,3;2;7;36;32;30;52;50;56;61;57,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
104,2,15,2,p,AM,0,0,94.17982105473143,30.0,2;1;3;4;5;9;10;15,3;2;6;9;13;25;28,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
105,2,15,3,p,AM,0,0,66745.32523956885,30.0,2;1;3;12;13;24;23;22;15,3;2;7;37;39;76;72;67,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
106,2,15,4,p,AM,0,0,94.14233332303021,29.0,2;1;3;4;11;14;15,3;2;6;10;34;41,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
107,2,16,0,p,AM,0,0,97152.52526270071,12.0,2;6;8;16,4;16;22,"LINESTRING ( ,  ,  ,  )"
108,2,16,1,p,AM,2.5999999999999996,0,149717464.07768708,35.0,2;1;3;12;11;10;17;16,3;2;7;36;32;30;52,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
109,2,16,2,p,AM,0,0,215.2510338900309,44.0,2;1;3;4;5;9;10;15;19;20;18;16,3;2;6;9;13;25;28;45;59;60;55,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
110,2,16,3,p,AM,0,0,71484.15543997596,37.0,2;1;3;12;13;24;21;20;18;16,3;2;7;37;39;75;64;60;55,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
111,2,16,4,p,AM,0,0,11508.879623586268,15.0,2;6;8;7;18;16,4;16;20;18;55,"LINESTRING ( ,  ,  ,  ,  ,  )"
112,2,16,5,p,AM,0,0,95275.6257524116,27.0,2;1;3;4;5;6;8;16,3;2;6;9;12;16;22,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
113,2,17,0,p,AM,0,0,97162.3550191227,14.0,2;6;8;16;17,4;16;22;49,"LINESTRING ( ,  ,  ,  ,  )"
114,2,17,1,p,AM,0.6000000000000002,0,128438987.06067699,33.0,2;1;3;12;11;10;17,3;2;7;36;32;30,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
115,2,17,2,p,AM,0,0,99.19997668266461,35.0,2;1;3;4;5;9;10;15;19;17,3;2;6;9;13;25;28;45;58,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
116,2,19,0,p,AM,0,0,97164.36256137419,16.0,2;6;8;16;17;19,4;16;22;49;53,"LINESTRING ( ,  ,  ,  ,  ,  )"
117,2,19,1,p,AM,0.3000000000000001,0,153927281.86802414,46.0,2;1;3;12;11;10;17;16;18;20;19,3;2;7;36;32;30;52;50;56;61,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
118,2,19,2,p,AM,0,0,97.19997668266461,33.0,2;1;3;4;5;9;10;15;19,3;2;6;9;13;25;28;45,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
119,2,20,0,p,AM,0,0,164143.9083850189,16.0,2;6;8;7;18;20,4;16;20;18;56,"LINESTRING ( ,  ,  ,  ,  ,  )"
120,2,20,1,p,AM,0.4000000000000001,0,150025032.7352125,42.0,2;1;3;12;11;10;17;16;18;20,3;2;7;36;32;30;52;50;56,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
121,2,20,2,p,AM,0,0,101.19997668266461,37.0,2;1;3;4;5;9;10;15;19;20,3;2;6;9;13;25;28;45;59,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
122,2,20,3,p,AM,0,0,71370.1043827686,30.0,2;1;3;12;13;24;21;20,3;2;7;37;39;75;64,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
123,2,22,0,p,AM,0,0,252158.45891444516,21.0,2;6;8;7;18;20;22,4;16;20;18;56;63,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
124,2,22,1,p,AM,0.002431428497875754,0,150113047.28574193,47.0,2;1;3;12;11;10;17;16;18;20;22,3;2;7;36;32;30;52;50;56;63,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
125,2,22,2,p,AM,0,0,62129.265601108185,26.0,2;1;3;12;13;24;21;22,3;2;7;37;39;75;65,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
126,2,22,3,p,AM,0.3475685715021243,0,66741.18994386669,27.0,2;1;3;12;13;24;23;22,3;2;7;37;39;76;72,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
127,3,4,0,p,AM,2.0,0,4.1506315222812935,4.0,3;4,6,"LINESTRING ( ,  )"
128,3,5,0,p,AM,0.46740635617970794,0,6.168248178230046,6.0,3;4;5,6;9,"LINESTRING ( ,  ,  )"
129,3,5,1,p,AM,0.5325936438202917,0,3043.66884901672,19.0,3;1;2;6;5,5;1;4;15,"LINESTRING ( ,  ,  ,  ,  )"
130,3,6,0,p,AM,0,0,361.86316323779903,10.0,3;4;5;6,6;9;12,"LINESTRING ( ,  ,  ,  )"
131,3,6,1,p,AM,0,0,196.8078552813264,23.0,3;4;5;9;8;6,6;9;13;24;19,"LINESTRING ( ,  ,  ,  ,  ,  )"
132,3,6,2,p,AM,2.999999999999999,0,2324.1650431055973,15.0,3;1;2;6,5;1;4,"LINESTRING ( ,  ,  ,  )"
133,3,7,0,p,AM,0,0,9333.74667606767,15.0,3;4;5;6;8;7,6;9;12;16;20,"LINESTRING ( ,  ,  ,  ,  ,  )"
134,3,7,1,p,AM,0.7000000000000001,0,149872228.00286865,30.0,3;12;11;10;17;16;18;7,7;36;32;30;52;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
135,3,7,2,p,AM,0,0,45.5474514659125,33.0,3;4;5;9;10;15;19;20;18;7,6;9;13;25;28;45;59;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
136,3,7,3,p,AM,0,0,71314.45185755185,26.0,3;12;13;24;21;20;18;7,7;37;39;75;64;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
137,3,7,4,p,AM,0,0,11296.048555935471,20.0,3;1;2;6;8;7,5;1;4;16;20,"LINESTRING ( ,  ,  ,  ,  ,  )"
138,3,7,5,p,AM,0,0,252001.8528138181,27.0,3;1;2;6;8;16;18;7,5;1;4;16;22;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
139,3,7,6,p,AM,0,0,250039.55093395032,22.0,3;4;5;6;8;16;18;7,6;9;12;16;22;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  )"
140,3,8,0,p,AM,0,0,9297.484636814703,12.0,3;4;5;6;8,6;9;12;16,"LINESTRING ( ,  ,  ,  ,  )"
141,3,8,1,p,AM,0,0,106.26572906853576,21.0,3;4;5;9;8,6;9;13;24,"LINESTRING ( ,  ,  ,  ,  )"
142,3,8,2,p,AM,0,0,49.04458241114303,36.0,3;4;5;9;10;15;19;20;18;7;8,6;9;13;25;28;45;59;60;54;17,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
143,3,8,3,p,AM,0,0,71417.19038674749,32.0,3;12;13;24;21;20;18;16;8,7;37;39;75;64;60;55;47,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
144,3,8,4,p,AM,2.0,0,11259.786516682503,17.0,3;1;2;6;8,5;1;4;16,"LINESTRING ( ,  ,  ,  ,  )"
145,3,9,0,p,AM,0,0,11.168248178230046,11.0,3;4;5;9,6;9;13,"LINESTRING ( ,  ,  ,  )"
146,3,9,1,p,AM,0.9000000000000001,0,106421.10047618921,34.0,3;12;13;24;21;20;18;16;10;9,7;37;39;75;64;60;55;48;26,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
147,3,9,2,p,AM,0,0,17139.098624037048,28.0,3;4;11;14;15;10;9,6;10;34;41;43;26,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
148,3,10,0,p,AM,0,0,14.168248178230048,14.0,3;4;5;9;10,6;9;13;25,"LINESTRING ( ,  ,  ,  ,  )"
149,3,10,1,p,AM,2.4,0,509256.9767989926,15.0,3;12;11;10,7;36;32,"LINESTRING ( ,  ,  ,  )"
150,3,10,2,p,AM,0,0,106092.01715133629,31.0,3;12;13;24;21;20;18;16;10,7;37;39;75;64;60;55;48,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
151,3,10,3,p,AM,0,0,16810.015299184128,25.0,3;4;11;14;15;10,6;10;34;41;43,"LINESTRING ( ,  ,  ,  ,  ,  )"
152,3,10,4,p,AM,0,0,146161.12624639377,15.0,3;4;11;10,6;10;32,"LINESTRING ( ,  ,  ,  )"
153,3,11,0,p,AM,0,0,10.582723221347495,10.0,3;4;11,6;10,"LINESTRING ( ,  ,  )"
154,3,11,1,p,AM,2.4,0,363106.43327582016,10.0,3;12;11,7;36,"LINESTRING ( ,  ,  )"
155,3,11,2,p,AM,0,0,106097.01822592894,36.0,3;12;13;24;21;20;18;16;10;11,7;37;39;75;64;60;55;48;27,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
156,3,12,0,p,AM,2.0,0,15011.005778890196,4.0,3;12,7,"LINESTRING ( ,  )"
157,3,13,0,p,AM,1.0,0,15485.165229956878,7.0,3;12;13,7;37,"LINESTRING ( ,  ,  )"
158,3,14,0,p,AM,0,0,15.130760446528832,14.0,3;4;11;14,6;10;34,"LINESTRING ( ,  ,  ,  )"
159,3,14,1,p,AM,0.5,0,154044602.17979652,44.0,3;12;11;10;17;16;18;20;19;15;14,7;36;32;30;52;50;56;61;57;44,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
160,3,14,2,p,AM,0,0,66640.86264547585,17.0,3;12;13;24;23;14,7;37;39;76;71,"LINESTRING ( ,  ,  ,  ,  ,  )"
161,3,14,3,p,AM,0,0,363110.98131304537,14.0,3;12;11;14,7;36;34,"LINESTRING ( ,  ,  ,  )"
